9.  Personnel  Administration			
01.  Importance  of  Human  Resource  Development			
	Question		
	"The  widening  gap  in  emoluments  of  government  employees  versus  the  public sector  corporations  and  private  sector  employees  has  a  strong  bearing  on  the motivation  and ability to  work." Comment.		
08.  Employer-Employee  Relations			
	Question		
	Analyze   the   relevance   of   Whilteyism   in   contemporary   employer   -   employee relationship.		
	Analyze  the  constitutional,  political  and  operational  dimensions  of  employer- employee  relations.  What  are  your  suggestions  to  bring  about  a  satisfactory relationship between them?		
09.  Grievance  Redressal  Mechanism			
	Question		
	In  what  respects,  the  powers  of  proposed  institution  of  Lok  Pal  in  the  Bill already   introduced  in   Indian  Parliament,  will  strengthen  the   institution  as compared to Parliamentary  Commissioner of  UK?		
10.  Code  of  Conduct			
	Question		
	"Administrative  ethics  includes  the  code  of  conduct  of  civil  servants.  but  goes beyond it as  well." Discuss.		
	Distinguish  between  'Codes  of  Conduct'  and  'Codes  of  Ethics'.  Justify  your answer.		
	Civil Service  neutrality is a thing  of the Past.  Discuss.		
	"The   doctrine   of   political   neutrality   and   anonymity   is   no   more   relevant   to modern civil service." - Comment.		
11.  Administrative  Ethics			
	Question		
	In   the   absence   of   a   merit-based,   fair   and   objective   civil   service   a   more partisan  and  corrupt  government  will  emerge.  Is  the  statement  justified?  Give reason.		
	The  imperatives  of  administrative  ethics  are  necessarily  an  antidote  to  “I  was only  obeying  the  orders” argument  by public official.  Explain.		
	Administrative    values    have    no    value    unless stakeholders  of the governance system." Comment.		
	"Administrative    ethics    is    a    process    of    independently    critiquing    decision standards,   based   on   core   social   values   that   can   be    discovered,   within reasonable   organizational   boundaries   that   can   be   defined,   subject   to   the personal and professional accountability? (Denhardt)  .  Explain.  .		
	"British  philosophy  of  administration  is  based  on  a  unification  of  science  of administration with ethics." Analyze. .		
	Civil  Servants  must  be  social  moralists  in  action,  living  up  to  Paul  Appleby's dictum   that.   'responsible   government   is   ethical   government'.   Examine   this statement in the light  of  good  governance.		
	Briefly    discuss    the    principles    of    ensuring    ethics    in    Public    Service    as recommended in the Nolan  Committee Report .		
	The  administrator  needs  autonomy  and  discretion  in  much  the  same  way  as the  politician needs control and  intervention. Discuss.		
	Account  for  the  increasing  corruption  in  Administration.  Suggest  remedies  to curb administrative corruption.		
